category,question_text,image_url,answers,correct_index,difficulty
Logic,"Если A истинно, а B ложно, то A ∧ B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",1,medium
Logic,"Какое число должно быть следующим: 2, 4, 8, 16, 32, ?",,"[""60"", ""64"", ""68"", ""72""]",1,easy
Logic,"В логике, что означает символ ""↔""?",,"[""Если...то"", ""Тогда и только тогда"", ""Или"", ""И""]",1,hard
Logic,"Какое число должно быть следующим: 5, 10, 20, 40, 80, ?",,"[""150"", ""160"", ""170"", ""180""]",1,medium
Logic,"Если A ложно, а B истинно, то A ∨ B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",0,medium
Logic,"Какое число должно быть следующим: 1, 8, 27, 64, 125, ?",,"[""180"", ""216"", ""250"", ""256""]",1,hard
Logic,"В логике, что означает ""тавтология""?",,"[""Всегда истинное высказывание"", ""Всегда ложное высказывание"", ""Противоречие"", ""Парадокс""]",0,hard
Logic,"Какое число должно быть следующим: 0, 1, 1, 2, 3, 5, 8, 13, ?",,"[""18"", ""21"", ""24"", ""26""]",1,hard
Logic,"Если A истинно, то ¬A:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",1,medium
Logic,"Какое число должно быть следующим: 1, 2, 4, 7, 11, 16, ?",,"[""20"", ""22"", ""24"", ""26""]",1,hard
Logic,"В логике, что означает ""контрадикция""?",,"[""Всегда истинное высказывание"", ""Всегда ложное высказывание"", ""Условное высказывание"", ""Дизъюнкция""]",1,hard
Logic,"Какое число должно быть следующим: 2, 5, 11, 23, 47, ?",,"[""90"", ""95"", ""100"", ""105""]",1,hard
Logic,"Если A → B истинно, а A истинно, то B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",0,medium
Logic,"Какое число должно быть следующим: 1, 4, 10, 20, 35, ?",,"[""50"", ""56"", ""60"", ""64""]",1,hard
Logic,"В логике, что означает ""модус поненс""?",,"[""Если A → B и A, то B"", ""Если A → B и ¬B, то ¬A"", ""Если A ∨ B и ¬A, то B"", ""Если A ∧ B, то A""]",0,hard
Logic,"Какое число должно быть следующим: 3, 9, 27, 81, 243, ?",,"[""700"", ""729"", ""750"", ""800""]",1,medium
Logic,"Если A ↔ B истинно, то:",,"[""A и B имеют одинаковое значение"", ""A и B имеют разные значения"", ""A всегда истинно"", ""B всегда ложно""]",0,hard
Logic,"Какое число должно быть следующим: 1, 5, 14, 30, 55, ?",,"[""80"", ""91"", ""100"", ""110""]",1,hard
Logic,"В логике, что означает ""модус толленс""?",,"[""Если A → B и A, то B"", ""Если A → B и ¬B, то ¬A"", ""Если A ∨ B и ¬A, то B"", ""Если A ∧ B, то A""]",1,hard
Logic,"Какое число должно быть следующим: 7, 14, 28, 56, 112, ?",,"[""210"", ""224"", ""240"", ""256""]",1,medium
Logic,"Если все A - B, а все B - C, то:",,"[""Все A - C"", ""Некоторые A - C"", ""Недостаточно информации"", ""Никакие A не являются C""]",0,medium
Logic,"Какое число должно быть следующим: 1, 3, 7, 15, 31, ?",,"[""60"", ""63"", ""65"", ""70""]",1,hard
Logic,"В логике, что означает ""дизъюнкция""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",1,medium
Logic,"Какое число должно быть следующим: 2, 6, 18, 54, 162, ?",,"[""450"", ""486"", ""500"", ""540""]",1,hard
Logic,"Если A истинно, а B ложно, то A → B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",1,medium
Logic,"Какое число должно быть следующим: 1, 2, 6, 24, 120, ?",,"[""600"", ""720"", ""840"", ""960""]",1,hard
Logic,"В логике, что означает ""конъюнкция""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",0,medium
Logic,"Какое число должно быть следующим: 4, 9, 16, 25, 36, ?",,"[""45"", ""49"", ""54"", ""64""]",1,medium
Logic,"Если A ложно, то A → B:",,"[""Всегда истинно"", ""Всегда ложно"", ""Зависит от B"", ""Неопределено""]",0,hard
Logic,"Какое число должно быть следующим: 1, 2, 4, 8, 16, 32, ?",,"[""60"", ""64"", ""68"", ""72""]",1,easy
Logic,"В логике, что означает ""импликация""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",2,medium
Logic,"Какое число должно быть следующим: 10, 20, 40, 80, 160, ?",,"[""300"", ""320"", ""340"", ""360""]",1,medium
Logic,"Если A ↔ B истинно, а A истинно, то B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",0,hard
Logic,"Какое число должно быть следующим: 1, 1, 2, 3, 5, 8, 13, 21, ?",,"[""30"", ""34"", ""36"", ""40""]",1,hard
Logic,"В логике, что означает ""эквивалентность""?",,"[""Если...то"", ""Тогда и только тогда"", ""Или"", ""И""]",1,hard
Logic,"Какое число должно быть следующим: 5, 25, 125, 625, 3125, ?",,"[""15000"", ""15625"", ""16000"", ""17000""]",1,hard
Logic,"Если A истинно, а B истинно, то A ∧ B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",0,medium
Logic,"Какое число должно быть следующим: 1, 3, 9, 27, 81, 243, ?",,"[""700"", ""729"", ""750"", ""800""]",1,medium
Logic,"В логике, что означает ""отрицание""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",3,medium
Logic,"Какое число должно быть следующим: 2, 8, 32, 128, 512, ?",,"[""2000"", ""2048"", ""2100"", ""2200""]",1,hard
Logic,"Если A ложно, а B ложно, то A ∨ B:",,"[""Истинно"", ""Ложно"", ""Неопределено"", ""Зависит от контекста""]",1,medium
Logic,"Какое число должно быть следующим: 1, 4, 13, 40, 121, ?",,"[""350"", ""364"", ""380"", ""400""]",1,hard
