category,question_text,image_url,answers,correct_index,difficulty
Geography,"В каком океане находится Гренландия?",,"[""Атлантический"", ""Тихий"", ""Северный Ледовитый"", ""Южный""]",0,hard
Geography,"Какая столица Вьетнама?",,"[""Хошимин"", ""Ханой"", ""Дананг"", ""Хюэ""]",1,medium
Geography,"Какая самая высокая гора в Северной Америке?",,"[""Денали"", ""Логан"", ""Орисаба"", ""Робсон""]",0,hard
Geography,"В какой стране находится озеро Виктория?",,"[""Кения"", ""Танзания и Уганда"", ""Эфиопия"", ""Судан""]",1,hard
Geography,"Какая столица Норвегии?",,"[""Осло"", ""Берген"", ""Тронхейм"", ""Ставангер""]",0,medium
Geography,"Сколько стран входят в состав Скандинавии?",,"[""3"", ""4"", ""5"", ""6""]",2,hard
Geography,"Какая самая большая страна в Центральной Америке?",,"[""Гватемала"", ""Никарагуа"", ""Панама"", ""Коста-Рика""]",1,hard
Geography,"В каком океане находится Шри-Ланка?",,"[""Атлантический"", ""Индийский"", ""Тихий"", ""Южный""]",1,medium
Geography,"Какая столица Ирана?",,"[""Исфахан"", ""Тегеран"", ""Шираз"", ""Мешхед""]",1,medium
Geography,"Какая самая длинная река в Северной Америке?",,"[""Миссури"", ""Миссисипи"", ""Маккензи"", ""Юкон""]",1,hard
Geography,"В какой стране находится гора Аконкагуа?",,"[""Чили"", ""Аргентина"", ""Боливия"", ""Перу""]",1,hard
Geography,"Какая столица Перу?",,"[""Куско"", ""Лима"", ""Арекипа"", ""Трухильо""]",1,medium
Geography,"Какая самая большая страна в Карибском бассейне?",,"[""Ямайка"", ""Куба"", ""Гаити"", ""Доминиканская Республика""]",1,hard
