category,question_text,image_url,answers,correct_index,difficulty
Movies,"Какой фильм основан на романе Стивена Кинга ""Зеленая миля""?",,"[""Побег из Шоушенка"", ""Зеленая миля"", ""Сияние"", ""Оно""]",1,medium
Movies,"В каком фильме звучит фраза ""Можешь считать меня сумасшедшим""?",,"[""Темный рыцарь"", ""Начало"", ""Интерстеллар"", ""Престиж""]",0,hard
Movies,"Кто режиссер фильма ""Интерстеллар""?",,"[""Кристофер Нолан"", ""Дени Вильнёв"", ""Ридли Скотт"", ""Дэвид Финчер""]",0,medium
Movies,"Какой фильм выиграл Оскар за лучший фильм в 2019 году?",,"[""Рома"", ""Зеленая книга"", ""Богемская рапсодия"", ""Черная пантера""]",1,medium
Movies,"Кто сыграл Джона Уика в одноименной серии фильмов?",,"[""Джейсон Стэйтем"", ""Киану Ривз"", ""Дольф Лундгрен"", ""Джеки Чан""]",1,medium
Movies,"В каком фильме звучит фраза ""Я люблю запах напалма по утрам""?",,"[""Апокалипсис сегодня"", ""Взвод"", ""Цельнометаллическая оболочка"", ""Спасти рядового Райана""]",0,hard
Movies,"Какой фильм является самым длинным по хронометражу?",,"[""Властелин колец: Возвращение короля"", ""Титаник"", ""Аватар"", ""Интерстеллар""]",0,hard
Movies,"Кто сыграл главную роль в фильме ""Леон""?",,"[""Жан Рено"", ""Люк Бессон"", ""Гэри Олдман"", ""Натали Портман""]",0,medium
Movies,"В каком году вышел фильм ""Криминальное чтиво""?",,"[""1992"", ""1994"", ""1996"", ""1998""]",1,medium
Movies,"Какой фильм основан на комиксах Marvel о Торе?",,"[""Тор"", ""Железный человек"", ""Капитан Америка"", ""Халк""]",0,medium
Movies,"Кто режиссер фильма ""Бегущий по лезвию 2049""?",,"[""Ридли Скотт"", ""Дени Вильнёв"", ""Кристофер Нолан"", ""Дэвид Финчер""]",1,hard
Movies,"В каком фильме звучит фраза ""Я вижу мертвых людей""?",,"[""Шестое чувство"", ""Призрак"", ""Остров проклятых"", ""Звонок""]",0,medium
Movies,"Какой актер сыграл Бэтмена в трилогии Кристофера Нолана?",,"[""Кристиан Бейл"", ""Майкл Китон"", ""Бен Аффлек"", ""Роберт Паттинсон""]",0,medium
Movies,"В каком году вышел фильм ""Аватар""?",,"[""2007"", ""2009"", ""2011"", ""2013""]",1,medium
Movies,"Кто сыграл главную роль в фильме ""Волк с Уолл-стрит""?",,"[""Леонардо ДиКаприо"", ""Мэтт Деймон"", ""Брэд Питт"", ""Кристиан Бейл""]",0,medium
Movies,"Какой фильм выиграл Оскар за лучший фильм в 2018 году?",,"[""Форма воды"", ""Три билборда на границе Эббинга"", ""Лунный свет"", ""Ла-Ла Ленд""]",0,hard
Movies,"В каком фильме звучит фраза ""Может быть, это начало прекрасной дружбы""?",,"[""Касабланка"", ""Унесенные ветром"", ""Гражданин Кейн"", ""Великий диктатор""]",0,hard
Movies,"Кто режиссер фильма ""Семь""?",,"[""Дэвид Финчер"", ""Квентин Тарантино"", ""Мартин Скорсезе"", ""Кристофер Нолан""]",0,medium
Movies,"Какой фильм основан на романе Филипа К. Дика ""Мечтают ли андроиды об электроовцах?""",,"[""Бегущий по лезвию"", ""Вспомнить все"", ""Особое мнение"", ""Минорити репорт""]",0,hard
Movies,"В каком году вышел фильм ""Криминальное чтиво""?",,"[""1992"", ""1994"", ""1996"", ""1998""]",1,medium
Movies,"Кто сыграл главную роль в фильме ""Гладиатор""?",,"[""Рассел Кроу"", ""Хью Джекман"", ""Джерард Батлер"", ""Колин Фаррелл""]",0,medium
Movies,"Какой фильм является самым кассовым анимационным фильмом?",,"[""Холодное сердце"", ""Король Лев"", ""История игрушек 4"", ""В поисках Немо""]",0,hard
Movies,"В каком фильме звучит фраза ""Я король мира!""?",,"[""Титаник"", ""Аватар"", ""Интерстеллар"", ""Начало""]",0,medium
Movies,"Кто режиссер фильма ""Побег из Шоушенка""?",,"[""Фрэнк Дарабонт"", ""Стивен Спилберг"", ""Мартин Скорсезе"", ""Квентин Тарантино""]",0,hard
Movies,"Какой актер сыграл главную роль в фильме ""Матрица""?",,"[""Киану Ривз"", ""Лоуренс Фишберн"", ""Хьюго Уивинг"", ""Кэрри-Энн Мосс""]",0,easy
Movies,"В каком году вышел фильм ""Властелин колец: Братство кольца""?",,"[""1999"", ""2001"", ""2003"", ""2005""]",1,medium
Movies,"Какой фильм выиграл Оскар за лучший фильм в 2021 году?",,"[""Манк"", ""Земля кочевников"", ""Звук металла"", ""Отец""]",1,hard
Movies,"Кто сыграл главную роль в фильме ""Джокер"" (2019)?",,"[""Хоакин Феникс"", ""Хит Леджер"", ""Джек Николсон"", ""Джаред Лето""]",0,medium
Movies,"В каком фильме звучит фраза ""Жизнь похожа на коробку шоколадных конфет""?",,"[""Форрест Гамп"", ""Титаник"", ""Криминальное чтиво"", ""Зеленая миля""]",0,easy
Movies,"Какой фильм основан на романе Дж.Р.Р. Толкина?",,"[""Властелин колец"", ""Хоббит"", ""Оба варианта"", ""Ни один из вариантов""]",2,medium
Movies,"Кто режиссер фильма ""Темный рыцарь""?",,"[""Кристофер Нолан"", ""Зак Снайдер"", ""Тим Бертон"", ""Джоэл Шумахер""]",0,medium
Movies,"В каком году вышел фильм ""Пираты Карибского моря: Проклятие Черной жемчужины""?",,"[""2001"", ""2003"", ""2005"", ""2007""]",1,hard
Movies,"Какой актер сыграл главную роль в фильме ""Бесславные ублюдки""?",,"[""Брэд Питт"", ""Кристоф Вальц"", ""Майкл Фассбендер"", ""Эли Рот""]",0,medium
Movies,"В каком фильме звучит фраза ""Я вернусь""?",,"[""Терминатор"", ""Хищник"", ""Коммандо"", ""Бегущий человек""]",0,easy
